# Time-averaged data for fix fa
# TimeStep v_vpe v_vke v_vT v_vE
21900000 -372.808 852.302 277.332 479.494
22000000 -372.537 852.069 277.257 479.532
22100000 -360.664 840.287 273.423 479.623
22200000 -370.806 850.712 276.815 479.906
22300000 -363.405 843.372 274.427 479.968
22400000 -367.721 847.602 275.803 479.88
22500000 -375.407 855.413 278.345 480.005
22600000 -360.309 840.382 273.454 480.073
22700000 -358.08 838.263 272.764 480.183
22800000 -348.454 828.838 269.697 480.385
22900000 -361.094 841.574 273.842 480.48
23000000 -356.032 836.563 272.211 480.531
23100000 -374.139 854.784 278.14 480.645
23200000 -360.31 841.073 273.679 480.763
23300000 -364.784 845.591 275.149 480.807
23400000 -360.399 841.264 273.741 480.865
23500000 -370.275 851.452 277.056 481.178
23600000 -356.999 838.152 272.728 481.153
23700000 -368.995 850.175 276.64 481.179
23800000 -353.673 834.909 271.673 481.236
23900000 -365.762 847.034 275.618 481.272
24000000 -360.222 841.337 273.765 481.115
24100000 -347.544 828.791 269.682 481.247
24200000 -356.828 838.141 272.725 481.314
24300000 -352.055 833.33 271.159 481.274
24400000 -359.133 840.363 273.447 481.23
24500000 -363.174 844.438 274.774 481.264
24600000 -364.522 845.737 275.196 481.215
24700000 -368.616 849.647 276.468 481.03
24800000 -357.366 838.495 272.84 481.129
24900000 -356.307 837.63 272.558 481.323
25000000 -358.712 840.167 273.384 481.456
25100000 -353.79 835.22 271.774 481.431
25200000 -347.996 829.744 269.992 481.748
25300000 -351.458 833.419 271.188 481.961
25400000 -356.873 838.94 272.984 482.066
25500000 -357.504 839.652 273.216 482.149
25600000 -357.386 839.631 273.209 482.245
25700000 -363.028 845.224 275.029 482.196
25800000 -364.126 846.28 275.373 482.154
25900000 -350.674 832.734 270.965 482.06
26000000 -359.552 841.371 273.776 481.819
26100000 -358.498 840.502 273.493 482.004
26200000 -365.824 847.841 275.881 482.017
26300000 -356.986 838.921 272.978 481.935
26400000 -357.675 839.589 273.196 481.914
26500000 -367.393 849.284 276.35 481.891
26600000 -365.42 847.249 275.688 481.829
26700000 -369.081 851.021 276.915 481.94
26800000 -364.813 846.926 275.583 482.113
26900000 -372.021 854.008 277.888 481.988
27000000 -362.02 843.61 274.504 481.59
27100000 -364.087 845.775 275.208 481.688
27200000 -352.461 834.208 271.445 481.748
27300000 -350.695 832.49 270.886 481.796
27400000 -356.514 838.512 272.845 481.999
27500000 -360 842.182 274.039 482.182
27600000 -354.619 836.763 272.276 482.144
27700000 -368.924 851.101 276.942 482.178
27800000 -361.918 843.828 274.575 481.91
27900000 -352.786 834.544 271.554 481.758
28000000 -361.074 842.872 274.264 481.798
28100000 -352.129 833.924 271.352 481.795
28200000 -371.241 853.144 277.606 481.902
28300000 -362.152 844.117 274.669 481.965
28400000 -348.432 830.386 270.201 481.954
28500000 -353.725 835.595 271.896 481.87
28600000 -355.893 837.554 272.533 481.661
28700000 -354.105 835.513 271.869 481.408
28800000 -355.458 836.737 272.268 481.279
28900000 -368.765 850.012 276.587 481.247
29000000 -368.505 849.863 276.539 481.358
29100000 -355.536 837.051 272.37 481.515
29200000 -363.65 845.184 275.016 481.534
29300000 -357.087 838.8 272.939 481.713
29400000 -364.971 846.831 275.552 481.86
29500000 -349.344 831.413 270.535 482.069
29600000 -363.541 845.649 275.167 482.108
29700000 -350.35 832.557 270.907 482.206
29800000 -366.259 848.471 276.086 482.212
29900000 -354.499 836.765 272.277 482.266
30000000 -353.939 836.185 272.088 482.246
30100000 -359.176 841.955 273.965 482.778
30200000 -362.211 845.147 275.004 482.936
30300000 -361.233 844.306 274.731 483.073
30400000 -361.21 844.346 274.744 483.136
30500000 -356.548 839.764 273.253 483.216
30600000 -357.007 840.283 273.422 483.276
30700000 -347.04 830.236 270.152 483.197
30800000 -349.08 832.135 270.77 483.055
30900000 -345.99 829.146 269.798 483.156
31000000 -355.141 838.343 272.79 483.202
31100000 -357.643 840.646 273.54 483.004
31200000 -353.158 836.087 272.056 482.929
31300000 -357.096 840.088 273.358 482.992
31400000 -357.167 840.112 273.366 482.944
31500000 -351.65 834.325 271.483 482.675
31600000 -355.326 837.909 272.649 482.584
31700000 -366.874 849.309 276.358 482.435
31800000 -365.892 848.376 276.055 482.483
31900000 -369.134 851.682 277.131 482.548
32000000 -363.796 846.167 275.336 482.371
32100000 -362.667 845.028 274.966 482.362
32200000 -353.459 835.764 271.951 482.306
32300000 -334.027 816.42 265.657 482.393
32400000 -346.823 829.052 269.767 482.229
32500000 -343.78 825.892 268.739 482.112
32600000 -376.281 858.327 279.293 482.047
32700000 -351.813 833.857 271.33 482.043
32800000 -355.758 837.808 272.616 482.05
32900000 -360.88 842.609 274.178 481.729
33000000 -353.396 835.016 271.708 481.62
33100000 -351.096 832.646 270.936 481.55
33200000 -367.898 849.418 276.394 481.521
33300000 -360.555 842.16 274.032 481.606
33400000 -357.895 839.775 273.256 481.879
33500000 -361.723 844.622 274.833 482.899
33600000 -371.979 854.855 278.163 482.876
33700000 -362.754 845.729 275.193 482.975
33800000 -369.266 852.333 277.342 483.067
33900000 -355.977 839.105 273.038 483.128
34000000 -348.877 831.796 270.66 482.92
34100000 -370.67 853.525 277.73 482.855
34200000 -356.083 838.939 272.984 482.856
34300000 -354.773 837.645 272.563 482.872
34400000 -364.292 847.05 275.623 482.758
34500000 -369.883 852.696 277.461 482.813
34600000 -351.905 834.803 271.638 482.898
34700000 -352.844 835.768 271.952 482.924
34800000 -356.919 839.805 273.266 482.886
34900000 -363.669 846.387 275.408 482.718
35000000 -359.303 841.823 273.923 482.521
35100000 -349.171 831.418 270.537 482.247
35200000 -357.845 840.069 273.352 482.224
35300000 -360.164 842.446 274.125 482.282
35400000 -348.661 831.119 270.439 482.458
35500000 -368.686 851.065 276.93 482.379
35600000 -356.507 838.907 272.974 482.4
35700000 -365.221 847.623 275.81 482.401
35800000 -354.707 837.126 272.394 482.419
35900000 -360.176 842.457 274.129 482.281
36000000 -363.421 845.765 275.205 482.344
36100000 -355.139 837.429 272.493 482.291
36200000 -359.572 842 273.98 482.427
36300000 -354.23 836.797 272.287 482.567
36400000 -360.387 843.305 274.405 482.917
36500000 -357.407 840.303 273.428 482.896
36600000 -361.276 844.114 274.668 482.838
36700000 -345.888 828.862 269.705 482.974
36800000 -361.929 844.896 274.922 482.967
36900000 -359.102 842.015 273.985 482.913
37000000 -350.962 833.971 271.368 483.009
37100000 -359.045 842.17 274.035 483.125
37200000 -342.025 825.515 268.616 483.49
37300000 -361.637 845.203 275.022 483.566
37400000 -366.828 850.289 276.677 483.461
37500000 -365.221 848.373 276.054 483.152
37600000 -359.243 842.492 274.14 483.249
37700000 -364.117 847.344 275.719 483.226
37800000 -358.414 841.48 273.811 483.065
37900000 -344.536 827.61 269.298 483.074
38000000 -357.987 841.167 273.709 483.179
38100000 -360.391 843.601 274.501 483.21
38200000 -355.642 838.691 272.903 483.048
38300000 -354.955 838 272.678 483.045
38400000 -359.395 842.564 274.164 483.169
38500000 -346.423 829.436 269.892 483.013
38600000 -353.674 836.481 272.184 482.807
38700000 -360.353 843.309 274.406 482.956
38800000 -372.355 855.394 278.338 483.039
38900000 -342.461 825.495 268.609 483.034
39000000 -354.538 838.058 272.697 483.52
39100000 -349.341 832.779 270.98 483.437
39200000 -354.646 838.018 272.685 483.373
39300000 -354.907 838.248 272.759 483.341
39400000 -364.463 847.945 275.915 483.483
39500000 -355.725 839.273 273.093 483.548
39600000 -349.124 832.566 270.91 483.442
39700000 -347.84 831.21 270.469 483.371
39800000 -350.529 833.862 271.332 483.334
39900000 -355.78 839.186 273.064 483.405
40000000 -347.856 831.245 270.481 483.389
40100000 -364.856 848.182 275.992 483.326
40200000 -357.422 840.862 273.61 483.441
40300000 -349.535 833.06 271.071 483.525
40400000 -347.355 830.75 270.319 483.394
40500000 -354.38 837.919 272.652 483.539
40600000 -347.553 831.37 270.521 483.817
40700000 -366.644 850.613 276.783 483.969
40800000 -356.949 840.935 273.634 483.986
40900000 -364.919 848.8 276.193 483.881
41000000 -351.946 835.752 271.947 483.806
41100000 -364.006 847.8 275.867 483.794
41200000 -362.945 847.084 275.635 484.14
41300000 -361.343 845.976 275.274 484.633
41400000 -348.502 833.27 271.14 484.769
41500000 -356.567 841.317 273.758 484.75
41600000 -371.992 856.639 278.744 484.647
41700000 -365.542 850.016 276.588 484.474
41800000 -354.119 838.608 272.877 484.49
41900000 -358.013 842.623 274.183 484.61
42000000 -359.688 844.379 274.754 484.691
42100000 -358.141 842.917 274.278 484.775
42200000 -364.459 849.407 276.39 484.948
42300000 -365.192 850.2 276.648 485.008
42400000 -354.788 839.854 273.282 485.066
42500000 -359.258 844.2 274.696 484.942
42600000 -361.819 846.816 275.547 484.997
42700000 -356.481 841.262 273.74 484.782
42800000 -354.722 839.258 273.088 484.535
42900000 -362.045 846.436 275.424 484.391
43000000 -355.175 839.525 273.175 484.35
43100000 -351.027 835.307 271.802 484.281
43200000 -356.28 840.451 273.476 484.171
43300000 -365.142 849.143 276.304 484.001
43400000 -363.692 847.786 275.863 484.094
43500000 -367.685 851.743 277.15 484.058
43600000 -361.248 845.2 275.021 483.952
43700000 -356.483 840.384 273.454 483.901
43800000 -350.864 834.98 271.696 484.116
43900000 -365.639 849.742 276.499 484.103
44000000 -364.542 848.413 276.067 483.871
44100000 -367.403 851.289 277.003 483.886
44200000 -360.739 844.698 274.858 483.96
44300000 -368.206 852.413 277.369 484.207
44400000 -359.691 843.753 274.551 484.062
44500000 -356.083 840.07 273.352 483.987
44600000 -357.986 841.994 273.978 484.007
44700000 -363.927 847.86 275.887 483.933
44800000 -355.828 839.762 273.252 483.934
44900000 -356.927 840.755 273.575 483.829
45000000 -351.242 835.009 271.705 483.768
45100000 -353.198 836.94 272.334 483.742
45200000 -365.661 849.509 276.423 483.847
45300000 -360.451 844.262 274.716 483.811
45400000 -358.763 842.572 274.166 483.809
45500000 -354.122 837.96 272.665 483.838
45600000 -359.371 843.136 274.35 483.765
45700000 -369.171 852.931 277.537 483.759
45800000 -364.846 848.69 276.157 483.843
45900000 -348.733 832.735 270.965 484.002
46000000 -356.079 840.177 273.387 484.098
46100000 -366.81 850.818 276.85 484.008
46200000 -355.005 838.837 272.951 483.833
46300000 -349.82 833.757 271.298 483.937
46400000 -363.922 847.862 275.888 483.94
46500000 -367.277 851.21 276.977 483.934
46600000 -360.831 844.788 274.887 483.957
46700000 -353.888 837.893 272.644 484.004
46800000 -360.114 844.087 274.659 483.973
46900000 -360.578 844.277 274.721 483.7
47000000 -350.752 834.613 271.576 483.861
47100000 -367.146 850.973 276.9 483.827
47200000 -368.497 852.36 277.351 483.863
47300000 -362.44 846.302 275.38 483.861
47400000 -364.046 847.971 275.923 483.925
47500000 -372.551 856.443 278.68 483.892
47600000 -370.542 854.454 278.033 483.912
47700000 -358.33 842.223 274.053 483.893
47800000 -354.02 838.01 272.682 483.99
47900000 -348.406 832.411 270.86 484.005
48000000 -351.208 835.297 271.799 484.089
48100000 -354.192 838.358 272.795 484.166
48200000 -355.957 840.312 273.431 484.355
48300000 -353.897 838.275 272.768 484.378
48400000 -360.216 844.779 274.884 484.563
48500000 -366.138 850.923 276.884 484.785
48600000 -375.618 860.339 279.948 484.721
48700000 -369.145 853.856 277.838 484.711
48800000 -367.19 851.716 277.142 484.526
48900000 -353.863 838.358 272.795 484.495
49000000 -366.108 850.946 276.891 484.839
49100000 -350.895 835.772 271.954 484.877
49200000 -356.57 841.383 273.78 484.813
49300000 -355.098 839.85 273.281 484.752
49400000 -355.493 840.228 273.404 484.735
49500000 -363.124 847.807 275.87 484.683
49600000 -351.254 835.9 271.995 484.646
49700000 -345.232 830.025 270.084 484.793
49800000 -355.005 839.945 273.312 484.94
49900000 -358.735 843.748 274.549 485.013
50000000 -364.073 849.17 276.313 485.096
50100000 -358.293 843.319 274.409 485.027
50200000 -348.703 833.495 271.213 484.792
50300000 -353.994 838.68 272.9 484.687
50400000 -363.956 848.691 276.157 484.735
50500000 -359.165 843.909 274.601 484.744
50600000 -363.984 848.917 276.231 484.933
50700000 -349.78 834.814 271.642 485.034
50800000 -359.902 845.111 274.993 485.21
50900000 -359.811 845.114 274.993 485.303
51000000 -353.165 838.467 272.83 485.302
51100000 -353.071 838.399 272.808 485.328
51200000 -359.559 845.014 274.961 485.456
51300000 -356.231 841.683 273.877 485.452
51400000 -359.66 845.262 275.042 485.601
51500000 -357.643 843.358 274.422 485.715
51600000 -360.925 846.426 275.42 485.501
51700000 -360.828 846.222 275.354 485.394
51800000 -351.849 837.349 272.467 485.5
51900000 -361.11 846.677 275.502 485.568
52000000 -362.316 848.136 275.977 485.82
52100000 -351.126 837.174 272.41 486.049
52200000 -354.667 840.614 273.529 485.947
52300000 -365.278 851.121 276.948 485.843
52400000 -349.484 835.223 271.775 485.739
52500000 -368.32 853.93 277.862 485.61
52600000 -358.331 844.041 274.644 485.71
52700000 -361.995 847.782 275.862 485.787
52800000 -363.672 849.605 276.455 485.933
52900000 -353.669 839.649 273.215 485.98
53000000 -355.61 841.566 273.839 485.956
53100000 -363.508 849.358 276.374 485.849
53200000 -360.807 846.636 275.489 485.829
53300000 -355.261 840.983 273.649 485.722
53400000 -352.666 838.426 272.817 485.76
53500000 -361.111 846.974 275.599 485.863
53600000 -358.279 844.148 274.679 485.87
53700000 -360.485 846.257 275.365 485.772
53800000 -362.721 848.477 276.088 485.756
53900000 -353.649 839.43 273.144 485.781
54000000 -351.844 837.663 272.569 485.819
54100000 -360.87 846.618 275.483 485.748
54200000 -353.078 838.91 272.975 485.832
54300000 -343.793 829.452 269.897 485.659
54400000 -367.188 852.942 277.54 485.754
54500000 -356.218 842.151 274.029 485.933
54600000 -341.726 827.612 269.298 485.886
54700000 -340.167 825.884 268.736 485.717
54800000 -360.186 845.897 275.248 485.711
54900000 -355.357 841.195 273.718 485.838
55000000 -362.881 848.664 276.149 485.783
55100000 -364.563 850.366 276.702 485.803
55200000 -359.738 845.407 275.089 485.67
55300000 -347.052 832.857 271.005 485.805
55400000 -350.321 835.939 272.008 485.618
55500000 -359.037 844.447 274.776 485.41
55600000 -364.425 849.695 276.484 485.27
55700000 -353.451 838.64 272.887 485.189
55800000 -355.521 840.722 273.564 485.2
55900000 -360.956 846.222 275.354 485.265
56000000 -352.199 837.468 272.506 485.269
56100000 -353.661 838.992 273.002 485.331
56200000 -355.872 841.229 273.729 485.357
56300000 -363.624 849.022 276.265 485.398
56400000 -367.794 853.184 277.62 485.39
56500000 -358.132 843.478 274.461 485.347
56600000 -356.093 841.374 273.776 485.281
56700000 -355.375 840.75 273.574 485.376
56800000 -365.765 850.999 276.909 485.234
56900000 -362.767 848.199 275.997 485.431
57000000 -362.404 847.923 275.907 485.519
57100000 -375.976 861.416 280.298 485.441
57200000 -360.296 845.845 275.231 485.548
57300000 -355.642 841.323 273.76 485.681
57400000 -351.798 837.533 272.526 485.735
57500000 -354.461 840.226 273.403 485.764
57600000 -360.996 846.825 275.55 485.829
57700000 -371.985 857.816 279.127 485.831
57800000 -372.387 858.239 279.264 485.852
57900000 -359.11 845.045 274.971 485.935
58000000 -360.214 846.152 275.331 485.938
58100000 -365.285 851.318 277.012 486.032
58200000 -357.444 843.466 274.457 486.023
58300000 -357.274 843.394 274.434 486.12
58400000 -356.869 842.998 274.305 486.129
58500000 -351.637 837.807 272.616 486.17
58600000 -349.05 835.25 271.784 486.199
58700000 -355.584 841.792 273.913 486.209
58800000 -357.409 843.581 274.495 486.172
58900000 -371.74 858.036 279.198 486.296
59000000 -371.737 858.211 279.255 486.474
59100000 -370.624 856.96 278.848 486.336
59200000 -350.582 836.827 272.297 486.245
59300000 -353.328 839.6 273.199 486.272
59400000 -351.957 838.173 272.735 486.216
59500000 -349.682 835.85 271.979 486.168
59600000 -358.671 844.838 274.903 486.166
59700000 -361.05 847.314 275.709 486.264
59800000 -375.573 862.163 280.541 486.59
59900000 -360.368 847.18 275.666 486.812
60000000 -357.387 844.307 274.731 486.92
60100000 -367.71 854.781 278.139 487.071
60200000 -359.931 847.071 275.63 487.14
60300000 -369.798 856.961 278.848 487.163
60400000 -353.494 840.713 273.561 487.219
60500000 -372.424 859.669 279.729 487.244
60600000 -364.635 851.654 277.122 487.019
60700000 -354.105 841.138 273.7 487.034
60800000 -351.553 838.733 272.917 487.18
60900000 -361.557 848.753 276.178 487.196
61000000 -369.789 856.955 278.846 487.166
61100000 -354.865 841.793 273.913 486.928
61200000 -366.756 853.798 277.819 487.042
61300000 -355.281 842.484 274.138 487.202
61400000 -358.684 845.923 275.257 487.239
61500000 -359.005 846.224 275.355 487.219
61600000 -358.129 845.398 275.086 487.269
61700000 -365.277 852.696 277.461 487.42
