Job started: Tue Mar 24 02:53:23 PM EDT 2026
Running on: della-r3c3n3
Tasks: 4
LAMMPS (29 Aug 2024)
  using 1 OpenMP thread(s) per MPI task
Reading restart file ...
  restart file = 29 Aug 2024, LAMMPS = 29 Aug 2024
  restoring atom style full from restart
  orthogonal box = (-80 -80 -80) to (80 80 80)
  1 by 2 by 2 MPI processor grid
  restoring pair style hybrid/overlay from restart
  restoring bond style harmonic from restart
  restoring angle style harmonic from restart
  1432 atoms
  1331 bonds
  1230 angles
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        1       
  special bond factors coul:  0        0        0       
     2 = max # of 1-2 neighbors
     2 = max # of 1-3 neighbors
     4 = max # of 1-4 neighbors
     6 = max # of special neighbors
  special bonds CPU = 0.000 seconds
  read_restart CPU = 0.009 seconds
Generated 0 of 6 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 10 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 33
  ghost atom cutoff = 33
  binsize = 16.5, bins = 10 10 10
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair lj/cut, perpetual, trim from (2)
      attributes: half, newton on, cut 25
      pair build: trim
      stencil: none
      bin: none
  (2) pair base/rna, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : real
  Current step  : 60000000
  Time step     : 10
Per MPI rank memory allocation (min/avg/max) = 7.33 | 7.33 | 7.331 Mbytes
   Step         PotEng         KinEng         TotEng          Temp          Press         Density    
  60200000  -309.57924      1283.8398      974.26052      300.97948      4.7375216      0.18767795   
  60210000  -215.63903      1282.3825      1066.7435      300.63785      3.2254009      0.18767795   
  60220000  -285.30188      1314.1791      1028.8772      308.09214      7.3089668      0.18767795   
  60230000  -278.43869      1307.1686      1028.7299      306.44862     -3.1086595      0.18767795   
  60240000  -267.52849      1244.5385      977.01005      291.76582     -0.93689556     0.18767795   
  60250000  -294.5256       1233.5206      938.99498      289.1828      -1.8968867      0.18767795   
  60260000  -259.5321       1278.4208      1018.8887      299.70906     -2.1429588      0.18767795   
  60270000  -259.29487      1277.7017      1018.4069      299.5405      -1.0522141      0.18767795   
  60280000  -263.71183      1247.9337      984.22184      292.56177      3.870282       0.18767795   
  60290000  -252.51926      1237.5586      985.03933      290.12946     -2.6735673      0.18767795   
  60300000  -280.17308      1294.5999      1014.4268      303.50205      1.1806624      0.18767795   
  60310000  -230.49826      1276.3333      1045.835       299.21968     -1.0868979      0.18767795   
  60320000  -250.54964      1307.7241      1057.1744      306.57885     -6.2213364      0.18767795   
  60330000  -343.20597      1310.1163      966.91033      307.13967      1.8412641      0.18767795   
  60340000  -278.84152      1298.7172      1019.8757      304.4673      -8.8432915      0.18767795   
  60350000  -217.98837      1290.8987      1072.9103      302.63435      9.9576185      0.18767795   
  60360000  -266.85174      1290.1983      1023.3466      302.47016      2.9757945      0.18767795   
  60370000  -189.56805      1280.7554      1091.1873      300.25639     -4.3054301      0.18767795   
  60380000  -237.05825      1320.109       1083.0508      309.48233     -0.605374       0.18767795   
  60390000  -247.27907      1270.8495      1023.5704      297.93407      9.1691159      0.18767795   
  60400000  -247.26019      1249.8585      1002.5983      293.01302      7.3431346      0.18767795   
  60410000  -231.32565      1325.9773      1094.6517      310.85809     -3.2425323      0.18767795   
  60420000  -220.54658      1277.8441      1057.2976      299.57389      5.9157974      0.18767795   
  60430000  -249.06373      1299.8003      1050.7365      304.72121     -7.4332058      0.18767795   
  60440000  -147.52598      1297.4252      1149.8992      304.16441      7.3399869      0.18767795   
  60450000  -193.6487       1292.0994      1098.4507      302.91585      5.8008129      0.18767795   
  60460000  -211.66287      1241.1981      1029.5352      290.9827       3.5283318      0.18767795   
  60470000  -206.51399      1247.8541      1041.3401      292.5431       2.3799768      0.18767795   
  60480000  -242.82653      1350.3714      1107.5449      316.57696      1.0682313      0.18767795   
  60490000  -232.95272      1313.5572      1080.6045      307.94634      0.90198823     0.18767795   
  60500000  -268.16546      1237.6211      969.45564      290.14412      5.1834463      0.18767795   
  60510000  -223.90152      1282.6449      1058.7434      300.69936      11.776365      0.18767795   
  60520000  -292.21822      1333.3888      1041.1706      312.59561     -10.254509      0.18767795   
  60530000  -266.41024      1301.8312      1035.421       305.19734      0.70602321     0.18767795   
  60540000  -215.72989      1230.5171      1014.7872      288.47868     -5.5495934      0.18767795   
  60550000  -237.71208      1308.8688      1071.1567      306.8472       0.6114383      0.18767795   
  60560000  -232.49179      1294.5374      1062.0456      303.48741     -3.2001838      0.18767795   
  60570000  -187.8284       1254.5102      1066.6818      294.10354     -6.3120601      0.18767795   
