Job started: Tue Mar 24 03:11:22 PM EDT 2026
Running on: della-r3c2n12
Tasks: 4
LAMMPS (29 Aug 2024)
  using 1 OpenMP thread(s) per MPI task
Reading restart file ...
  restart file = 29 Aug 2024, LAMMPS = 29 Aug 2024
  restoring atom style full from restart
  orthogonal box = (-80 -80 -80) to (80 80 80)
  1 by 2 by 2 MPI processor grid
  restoring pair style hybrid/overlay from restart
  restoring bond style harmonic from restart
  restoring angle style harmonic from restart
  1032 atoms
  931 bonds
  830 angles
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        1       
  special bond factors coul:  0        0        0       
     2 = max # of 1-2 neighbors
     2 = max # of 1-3 neighbors
     4 = max # of 1-4 neighbors
     6 = max # of special neighbors
  special bonds CPU = 0.000 seconds
  read_restart CPU = 0.008 seconds
Generated 0 of 6 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 10 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 33
  ghost atom cutoff = 33
  binsize = 16.5, bins = 10 10 10
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair lj/cut, perpetual, trim from (2)
      attributes: half, newton on, cut 25
      pair build: trim
      stencil: none
      bin: none
  (2) pair base/rna, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : real
  Current step  : 80000000
  Time step     : 10
Per MPI rank memory allocation (min/avg/max) = 7.315 | 7.318 | 7.32 Mbytes
   Step         PotEng         KinEng         TotEng          Temp          Press         Density    
  80210000  -335.1989       876.94347      541.74456      285.35049     -0.41513394     0.134578     
  80220000  -314.08816      829.06276      514.97461      269.77049     -4.6640027      0.134578     
  80230000  -351.90769      873.06923      521.16154      284.08985     -6.6008884      0.134578     
  80240000  -379.26511      867.96773      488.70262      282.42986      2.5395529      0.134578     
  80250000  -341.61998      835.94473      494.32475      272.00983     -2.8705945      0.134578     
  80260000  -348.02386      834.42551      486.40165      271.51549     -0.99179709     0.134578     
  80270000  -326.12276      874.05725      547.9345       284.41134      10.10526       0.134578     
  80280000  -347.19677      859.6418       512.44504      279.72067      0.45381922     0.134578     
  80290000  -316.967        872.67268      555.70569      283.96081      10.177308      0.134578     
  80300000  -296.89547      879.69229      582.79682      286.24494     -2.2047909      0.134578     
  80310000  -301.18133      861.56088      560.37955      280.34512     -2.7273726      0.134578     
  80320000  -300.53535      847.04823      546.51287      275.62282      0.79425163     0.134578     
  80330000  -391.90786      830.99063      439.08277      270.3978       1.5940135      0.134578     
  80340000  -404.32608      845.99634      441.67026      275.28054     -3.3634345      0.134578     
  80350000  -345.01942      887.75421      542.73478      288.86822     -9.2343081      0.134578     
  80360000  -384.78118      833.66819      448.88702      271.26906      2.0793479      0.134578     
  80370000  -341.84613      849.21159      507.36547      276.32676      3.0578239      0.134578     
  80380000  -357.45995      860.03324      502.5733       279.84804      2.4000002      0.134578     
  80390000  -320.85871      864.31305      543.45434      281.24066     -0.13225934     0.134578     
  80400000  -349.34199      844.27412      494.93213      274.72015      1.2187377      0.134578     
  80410000  -357.37224      842.19113      484.81889      274.04236      4.1658615      0.134578     
  80420000  -348.11938      847.61362      499.49424      275.80679      6.3479197      0.134578     
  80430000  -386.9283       830.87394      443.94563      270.35983     -2.5051016      0.134578     
  80440000  -370.27673      828.86534      458.58861      269.70625      9.8668052      0.134578     
  80450000  -389.08256      845.64347      456.56091      275.16572      6.9746976      0.134578     
  80460000  -374.65467      822.33012      447.67545      267.57974      7.5695062      0.134578     
  80470000  -364.19665      825.86036      461.6637       268.72845      4.9332725      0.134578     
  80480000  -384.53904      859.41922      474.88017      279.64824      2.5106415      0.134578     
  80490000  -323.59355      853.5645       529.97095      277.74316     -4.2154906      0.134578     
  80500000  -387.03471      808.76228      421.72757      263.16487      0.36119683     0.134578     
  80510000  -422.94582      839.30084      416.35502      273.10188      4.2036565      0.134578     
  80520000  -371.10796      841.22775      470.1198       273.72888      2.4001212      0.134578     
  80530000  -403.45466      829.07512      425.62046      269.77451     -0.23162258     0.134578     
  80540000  -389.25981      855.15367      465.89386      278.26027     -0.42668731     0.134578     
  80550000  -387.87462      848.52361      460.64899      276.1029      -3.3267533      0.134578     
  80560000  -352.37966      862.83173      510.45207      280.75865      3.5654882      0.134578     
  80570000  -360.449        867.55276      507.10376      282.29483     -2.8535687      0.134578     
  80580000  -326.75524      828.98032      502.22508      269.74367      6.9142755      0.134578     
  80590000  -347.81635      850.8362       503.01984      276.85539      3.8796009      0.134578     
  80600000  -305.54235      853.15197      547.60961      277.60893     -0.27614851     0.134578     
  80610000  -356.72706      831.05604      474.32898      270.41909      2.6713546      0.134578     
